family,param_key,flag,n_cases,cases,base_value,band_min_value,band_max_value,base_pnl_inr,pnl_min_inr,pnl_max_inr,slope_inr_per_unit,linear_max_dev_inr,breakeven_value,breakeven_inside_band,sign_robust_within_band,label
anchor_premium,domestic_anchor_premium_inr_t,ASSUMPTION,4,anchor_premium_-55000; anchor_premium_-52000; anchor_premium_-9000; anchor_premium_+13000,-9000.0,-55000.0,13000.0,192054770.6625,-105380779.682,334306555.6099,6465.9902,0.0,-38702.2983,True,False,SENSITIVITY — not base P&L
conversion,conversion_cost_inr_t,ASSUMPTION,4,conversion_8000; conversion_12000; conversion_18000; conversion_30000,12000.0,8000.0,30000.0,192054770.6625,75666946.6146,217918731.562,-6465.9902,0.0,41702.2983,False,True,SENSITIVITY — not base P&L
desk_share,desk_arb_share_frac (docs/20 S1),ASSUMPTION,4,desk_share_0.50; desk_share_0.25; desk_share_0.10; desk_share_0.00,0.5,0.0,0.5,192054770.6625,13527051.8657,192054770.6625,357055437.5936,0.0,-0.0379,False,True,SENSITIVITY — not base P&L
desk_margin,flat trading margin over replacement,ASSUMPTION,2,desk_margin_5000; desk_margin_8000,,5000.0,8000.0,192054770.6625,85405533.9122,128532623.1401,14375.6964,0.0,-940.9667,False,True,SENSITIVITY — not base P&L
purchase_discount,purchase discount USD/t (docs/20 S2 band),ASSUMPTION,2,purchase_discount_0; purchase_discount_30,,0.0,30.0,192054770.6625,182731050.2772,205722771.3746,766390.7032,0.0,-238.4307,False,True,SENSITIVITY — not base P&L
grade_mix,grade_factor_mix_pit,ASSUMPTION,3,grade_mix_pit_repriced; grade_mix_lag1_repriced; grade_mix_lag3_repriced,,,,192054770.6625,97292733.8719,219971160.7553,,,,False,True,SENSITIVITY — not base P&L
grade_diff,grade_factor_diff_quartiles_<g> [q25],ASSUMPTION,2,grade_diff_q25_repriced; grade_diff_q75_repriced,,,,192054770.6625,133779350.9137,231243445.1657,,,,False,True,SENSITIVITY — not base P&L
claim_recovery,events.quality.claim_recovery_frac (SIM),SIM,2,claim_recovery_0.00; claim_recovery_1.00,0.6,0.0,1.0,192054770.6625,186335435.5126,195867660.7625,9532225.2499,0.0,-19.5479,False,True,SENSITIVITY — not base P&L
ALL_REGISTERED_BANDS,"every case above, one at a time",—,24,one parameter moved per case; no joint scenario,,,,192054770.6625,-105380779.682,334306555.6099,,,,True,False,SENSITIVITY — not base P&L
