date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-03-08,True,BOOK,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85
2022-03-08,True,T01,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85
2022-03-09,True,BOOK,-282437.24,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2075146.49,-931945.64
2022-03-09,True,T01,-282437.24,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2075146.49,-931945.64
2022-03-10,True,BOOK,0.0,41005.79,0.0,-1735963.13,227699.01,-42817.71,0.0,-929038.96,-0.0,-2439114.99,-3371060.64
2022-03-10,True,T01,0.0,41005.79,0.0,-1735963.13,227699.01,-42817.71,0.0,-929038.96,-0.0,-2439114.99,-3371060.64
2022-03-11,True,BOOK,38922624.2,-831314.56,0.0,-1695910.72,0.0,10944.97,0.0,4430157.35,0.0,40836501.24,37465440.6
2022-03-11,True,T01,0.0,-831314.56,0.0,-1695910.72,0.0,10944.97,0.0,4430157.35,0.0,1913877.04,-1457183.6
2022-03-11,True,T02,38922624.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,38922624.2,38922624.2
2022-03-14,True,BOOK,-1061573.82,-888147.55,0.0,-5033252.98,0.0,21425.7,0.0,-1367111.63,0.0,-8328660.28,29136780.32
2022-03-14,True,T01,-1061573.82,-929195.92,0.0,-5033252.98,0.0,16822.22,0.0,-2091097.93,-0.0,-9098298.43,-10555482.03
2022-03-14,True,T02,0.0,41048.37,0.0,0.0,0.0,4603.48,0.0,723986.3,0.0,769638.15,39692262.35
2022-03-15,True,BOOK,0.0,-1952429.45,0.0,-1584157.93,0.0,-12534.02,0.0,2338330.26,0.0,-1210791.14,27925989.18
2022-03-15,True,T01,0.0,-2052330.02,0.0,-1584157.93,0.0,-5484.36,0.0,3348087.05,0.0,-293885.26,-10849367.29
2022-03-15,True,T02,0.0,99900.57,0.0,0.0,0.0,-7049.66,0.0,-1009756.78,0.0,-916905.88,38775356.47
2022-03-16,True,BOOK,0.0,907750.82,0.0,1327392.81,0.0,-24298.39,0.0,-1399856.42,-0.0,810988.81,28736977.99
2022-03-16,True,T01,0.0,956738.97,0.0,1327392.81,0.0,-19837.13,0.0,-2046070.14,-0.0,218224.5,-10631142.8
2022-03-16,True,T02,0.0,-48988.15,0.0,0.0,0.0,-4461.26,0.0,646213.72,-0.0,592764.31,39368120.79
2022-03-17,True,BOOK,0.0,-191660.09,0.0,1311107.93,790442.44,-47706.97,0.0,820762.14,0.0,2682945.45,31419923.44
2022-03-17,True,T01,0.0,-201709.26,0.0,1311107.93,790442.44,-36685.12,0.0,1133504.39,0.0,2996660.38,-7634482.41
2022-03-17,True,T02,0.0,10049.17,0.0,0.0,0.0,-11021.85,0.0,-312742.26,-0.0,-313714.93,39054405.85
2022-03-18,True,BOOK,-431336.63,1019186.8,0.0,1345163.63,0.0,23989.41,0.0,-863637.96,-0.0,1093365.24,32513288.68
2022-03-18,True,T01,-431336.63,1071457.57,0.0,1345163.63,0.0,34654.69,0.0,-1253671.35,-0.0,766267.91,-6868214.51
