date,lme_cash_usd_t,usdinr,unit_lme_pnl_inr,unit_fx_pnl_inr,unit_lme_var_garch_inr,unit_lme_var_hist250_inr,unit_lme_var_hist60_inr,unit_lme_var_garch_t_inr,unit_lme_exception_garch,unit_lme_exception_hist250,unit_lme_exception_hist60,unit_lme_exception_garch_t,unit_fx_var_garch_inr,unit_fx_var_hist250_inr,unit_fx_var_hist60_inr,unit_fx_var_garch_t_inr,unit_fx_exception_garch,unit_fx_exception_hist250,unit_fx_exception_hist60,unit_fx_exception_garch_t
2019-01-02,1858.0,70.1812,-807083.8,548200.0,2477476.0,3558696.57,2336478.13,2265409.9,False,False,False,False,608724.56,487492.45,672860.61,596373.6,False,False,False,False
2019-01-03,1825.5,70.1516,-2279927.0,-29600.0,2460790.69,3562481.92,1948385.82,2245587.14,False,False,True,True,614435.46,494638.4,687006.33,601992.04,False,False,False,False
2019-01-04,1879.0,69.6584,3726724.4,-493200.0,2860546.69,3502446.9,1776181.5,2712186.55,False,False,False,False,615093.15,494185.92,684279.67,602659.69,False,False,False,False
2019-01-07,1858.0,69.6282,-1462192.2,-30200.0,3938722.36,3594909.35,1901760.77,3908472.77,False,False,False,False,613856.09,492815.81,683992.82,603302.85,False,False,False,False
2019-01-08,1837.0,70.1442,-1473028.2,516000.0,3581976.14,3555086.78,1904579.66,3475714.97,False,False,False,False,614502.51,492430.98,682786.8,603959.97,False,False,False,False
2019-01-09,1842.0,70.3942,351971.0,250000.0,3351442.81,3542074.51,1921149.94,3201992.95,False,False,False,False,619974.41,498883.99,696059.23,609359.88,False,False,False,False
2019-01-10,1844.0,70.3949,140789.8,700.0,3036284.92,3557702.79,1913703.17,2834312.81,False,False,False,False,623103.92,501238.16,692397.26,612457.67,False,False,False,False
2019-01-11,1816.0,70.5346,-1974968.8,139700.0,2784540.84,3560820.42,1902166.57,2552807.93,False,False,True,False,624028.63,501153.01,690695.93,613388.35,False,False,False,False
2019-01-14,1775.5,70.8289,-2868570.45,294300.0,2941030.38,3503525.73,1920897.22,2767546.14,False,False,True,True,621374.85,498647.09,689174.49,609863.34,False,False,False,False
2019-01-15,1810.5,71.1056,2488696.0,276700.0,3375764.99,3451141.22,1979030.2,3269270.23,False,False,False,False,624877.52,501477.25,694057.93,613321.78,False,False,False,False
2019-01-16,1839.5,71.1261,2062656.9,20500.0,3597606.65,3535060.62,2090172.06,3489010.86,False,False,False,False,628230.93,504182.35,699240.59,616633.82,False,False,False,False
2019-01-17,1804.0,71.0569,-2522519.95,-69200.0,3588139.65,3594293.72,2159777.47,3455162.67,False,False,True,False,629323.26,504331.39,697326.44,617726.55,False,False,False,False
2019-01-18,1851.0,71.1169,3342494.3,60000.0,3628543.52,3528871.4,2164673.25,3504494.1,False,False,False,False,629619.98,503826.98,695404.17,618038.25,False,False,False,False
2019-01-21,1842.5,71.2317,-605469.45,114800.0,4181645.85,3638535.83,2335049.59,4153843.76,False,False,False,False,623824.66,504039.28,696102.71,610538.68,False,False,False,False
2019-01-22,1867.5,71.381,1784525.0,149300.0,3660092.13,3628185.3,2327819.61,3522461.32,False,False,False,False,625723.45,504903.28,692593.4,612416.04,False,False,False,False
2019-01-23,1877.5,71.306,713060.0,-75000.0,3562241.3,3687428.34,2393135.26,3402026.67,False,False,False,False,627927.32,505981.29,694373.58,614592.01,False,False,False,False
2019-01-24,1851.0,71.1189,-1884650.85,-187100.0,3241633.86,3704024.0,2390872.4,3025855.55,False,False,False,False,628157.73,505482.31,692795.68,614836.4,False,False,False,False
2019-01-25,1866.5,71.0682,1101557.1,-50700.0,3220915.88,3646430.42,2368189.21,3042208.29,False,False,False,False,627396.08,504518.34,692068.49,614109.64,False,False,False,False
2019-01-28,1860.0,71.1438,-462434.7,75600.0,3045673.98,3673531.74,2362834.23,2845084.85,False,False,False,False,619468.26,504124.3,690361.42,603873.63,False,False,False,False
2019-01-29,1853.0,71.1837,-498285.9,39900.0,2818751.34,3664842.07,2357561.48,2588787.84,False,False,False,False,620992.48,504624.54,687486.92,605377.08,False,False,False,False
2019-01-30,1871.0,71.1795,1281231.0,-4200.0,2658069.4,3653242.99,2342525.56,2416423.36,False,False,False,False,622205.29,502091.89,679242.63,606576.93,False,False,False,False
2019-01-31,1880.5,71.1055,675502.25,-74000.0,2720460.6,3690417.41,2379321.11,2507514.54,False,False,False,False,623031.86,502046.52,646470.63,607400.2,False,False,False,False
2019-02-01,1872.5,71.285,-570280.0,179500.0,2634041.63,3702370.27,2390441.21,2410311.57,False,False,False,False,623245.33,501556.58,632333.0,607625.68,False,False,False,False
2019-02-04,1840.0,71.8135,-2333938.75,528500.0,2516818.72,3696206.17,2385770.75,2288224.51,False,False,False,True,616978.59,502787.19,634588.03,378958.71,False,False,False,False
2019-02-05,1896.5,71.6445,4047914.25,-169000.0,2955599.39,3665756.92,2412203.5,2835833.55,False,False,False,False,622400.45,509501.97,641919.36,432280.01,False,False,False,False
2019-02-06,1886.5,71.5758,-715758.0,-68700.0,4150213.36,3792577.92,2602631.13,4176018.73,False,False,False,False,621780.25,508575.98,641127.66,424080.28,False,False,False,False
2019-02-07,1862.5,71.4725,-1715340.0,-103300.0,3634402.29,3765882.59,2584472.76,3538023.26,False,False,False,False,622026.57,508054.57,640360.29,412343.76,False,False,False,False
2019-02-08,1865.0,71.2723,178180.75,-200200.0,3428072.98,3715954.94,2535192.12,3295658.62,False,False,False,False,621969.03,507416.38,634737.57,402664.01,False,False,False,False
