date,in_window,trade_id,leg_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,daily_pnl_inr
2022-03-21,True,T02,LC_FEES,-361649.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361649.58
2022-03-21,True,T02,LC_USANCE_FEE:L1,0.0,-8010.52,0.0,0.0,0.0,-421.62,0.0,230.0,-8202.14
2022-03-21,True,T02,LC_USANCE_FEE:L2,0.0,-8016.4,0.0,0.0,0.0,-422.13,0.0,299.93,-8138.6
2022-03-21,True,T02,MCX:T02-MCX-1,0.0,-4197220.06,0.0,0.0,0.0,-220671.62,0.0,33385.61,-4384506.07
2022-03-21,True,T02,PSIC:L1,0.0,0.0,0.0,0.0,0.0,-150.39,0.0,24.43,-125.96
2022-03-21,True,T02,PSIC:L2,0.0,0.0,0.0,0.0,0.0,-150.5,0.0,26.68,-123.82
2022-03-21,True,T02,PURCHASE:L1,0.0,-4045398.38,0.0,0.0,0.0,-213452.32,0.0,314755.7,-3944095.01
2022-03-21,True,T02,PURCHASE:L2,0.0,-4048193.77,0.0,0.0,0.0,-213599.74,0.0,317943.98,-3943849.53
2022-03-21,True,T02,SALE:S1,0.0,12506542.84,0.0,0.0,0.0,657539.75,0.0,-99182.34,13064900.26
2022-03-21,True,T02,USANCE_INTEREST:L1,0.0,-18393.38,0.0,0.0,0.0,-968.09,0.0,-33332.76,-52694.24
2022-03-21,True,T02,USANCE_INTEREST:L2,0.0,-18406.76,0.0,0.0,0.0,-969.26,0.0,-33201.68,-52577.7
2022-03-22,True,T01,BILL_COMMISSION:L1,0.0,0.0,0.0,0.0,0.0,347.66,0.0,13.08,360.74
2022-03-22,True,T01,BILL_COMMISSION:L2,0.0,0.0,0.0,0.0,0.0,347.85,0.0,11.89,359.74
2022-03-22,True,T01,BILL_COMMISSION:L3,0.0,0.0,0.0,0.0,0.0,347.94,0.0,11.3,359.24
2022-03-22,True,T01,FREIGHT:L1,0.0,0.0,0.0,0.0,0.0,12832.15,0.0,233.66,13065.8
2022-03-22,True,T01,FREIGHT:L2,0.0,0.0,0.0,0.0,0.0,12840.02,0.0,182.53,13022.55
2022-03-22,True,T01,FREIGHT:L3,0.0,0.0,0.0,0.0,0.0,12841.15,0.0,175.22,13016.37
2022-03-22,True,T01,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10645.83,-10645.83
2022-03-22,True,T01,FX:T01-FX-4,0.0,0.0,0.0,0.0,0.0,-38520.07,0.0,-547.58,-39067.66
2022-03-22,True,T01,INSURANCE:L1,0.0,0.0,0.0,0.0,0.0,332.56,0.0,13.84,346.4
2022-03-22,True,T01,INSURANCE:L2,0.0,0.0,0.0,0.0,0.0,332.73,0.0,12.71,345.44
2022-03-22,True,T01,INSURANCE:L3,0.0,0.0,0.0,0.0,0.0,332.82,0.0,12.14,344.96
2022-03-22,True,T01,INVENTORY:L1,0.0,1490623.8,0.0,470218.95,0.0,-307329.44,0.0,-315998.94,1337514.37
2022-03-22,True,T01,INVENTORY:L2,0.0,1490623.8,0.0,470218.95,0.0,-307329.44,0.0,-315998.94,1337514.37
2022-03-22,True,T01,INVENTORY:L3,0.0,1490623.8,0.0,470218.95,0.0,-307329.44,0.0,-315998.94,1337514.37
2022-03-22,True,T01,MCX:T01-MCX-1,0.0,-2694004.88,0.0,0.0,0.0,568035.76,0.0,30296.4,-2095672.72
