date,value,unit,wow_pct_change_published,wow_usd_change_published,url,archive_url,archived,retrieved
2021-07-22,8985.83,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.01,103.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210724014342/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-07-24,2026-09-16
2021-07-29,9330.28,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.04,344.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210802123539/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-08-02,2026-09-16
2021-08-05,9371.3,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.004,41.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210806152238/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-08-06,2026-09-16
2021-08-12,9421.48,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.005,50.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210813005002/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-08-13,2026-09-16
2021-08-19,9613.28,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.02,192.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210825010535/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-08-25,2026-09-16
2021-08-26,9817.72,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.021,204.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210827153934/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-08-27,2026-09-16
2021-09-02,9987.27,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.017,170.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210903170953/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-09-03,2026-09-16
2021-09-09,10083.84,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.01,97.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210914103754/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-09-14,2026-09-16
2021-09-16,10374.64,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.028999999999999998,291.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210922204627/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-09-22,2026-09-16
2021-09-30,10360.87,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211004033924/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-10-04,2026-09-16
